Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Mid,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,"Date On List"
GME,4.06,Call,5.5,2021-01-15,170,0.53,0.58,0.62,0.53,891,597,1.49,86.10%,N/A,2020-07-29
GME,4.15,Call,7,2021-01-15,165,0.36,0.41,0.45,0.39,2083,1390,1.5,94.64%,N/A,2020-08-03
GME,6.09,Call,15,2022-01-21,497,1.5,1.55,1.6,1.5,1148,287,4,107.09%,N/A,2020-09-11
GME,12.02,Call,15,2021-04-16,189,3,3.1,3.2,3.19,1871,1012,1.85,119.95%,N/A,2020-10-09
GME,12.25,Call,20,2022-01-21,464,3.5,3.75,4,3.6,1006,129,7.8,99.37%,N/A,2020-10-14
GME,14.91,Call,16,2021-01-15,85,3.6,3.73,3.85,3.6,2402,1888,1.27,140.58%,N/A,2020-10-22
GME,11.57,Call,22,2021-04-16,149,1.28,1.42,1.56,1.51,1002,108,9.28,126.60%,N/A,2020-11-18
GME,16.56,Call,21,2021-01-15,46,3.15,3.33,3.5,3.5,543,391,1.39,209.58%,N/A,2020-11-30
GME,16.56,Call,30,2023-01-20,781,6.8,6.95,7.1,7.03,651,301,2.16,103.75%,N/A,2020-11-30
GME,16.58,Call,35,2021-01-15,44,1.04,1.1,1.16,1.12,679,183,3.71,197.56%,N/A,2020-12-02
GME,16.58,Call,27,2021-07-16,226,4.3,4.4,4.5,4,1502,474,3.17,126.07%,N/A,2020-12-02
GME,16.12,Call,35,2021-01-15,43,0.78,0.85,0.92,0.91,1075,768,1.4,193.08%,N/A,2020-12-03
GME,16.12,Call,22,2021-01-15,43,1.89,2.11,2.32,2.11,4792,2404,1.99,173.83%,N/A,2020-12-03
GME,16.94,Call,24,2021-01-15,38,1.41,1.76,2.11,1.88,1113,424,2.63,177.14%,N/A,2020-12-08
GME,13.66,Call,12,2021-01-15,37,2.9,3.1,3.3,3,2448,1824,1.34,127.01%,N/A,2020-12-09
GME,13.85,Call,18,2021-01-15,31,0.86,0.88,0.9,0.88,9597,1659,5.78,131.21%,N/A,2020-12-15
GME,13.85,Call,20,2021-01-22,38,0.45,0.63,0.8,0.64,501,275,1.82,123.77%,N/A,2020-12-15
GME,19.46,Call,20,2021-01-08,17,1.65,1.85,2.05,2.05,1610,620,2.6,136.11%,N/A,2020-12-22
GME,19.46,Call,35,2021-01-15,24,0.45,0.46,0.48,0.46,4822,3496,1.38,169.69%,N/A,2020-12-22
GME,19.46,Call,18,2021-02-19,59,4.1,4.4,4.7,4.35,727,322,2.26,119.36%,N/A,2020-12-22
GME,19.46,Call,30,2021-02-19,59,1.31,1.48,1.65,1.48,761,337,2.26,132.01%,N/A,2020-12-22
GME,19.46,Call,20,2021-02-19,59,3.6,3.63,3.65,3.63,848,143,5.93,123.68%,N/A,2020-12-22
GME,19.46,Call,21,2021-01-15,24,2.06,2.28,2.49,2.25,1466,958,1.53,143.34%,N/A,2020-12-22
GME,19.46,Call,23,2021-01-29,38,1.86,2.13,2.39,1.86,525,112,4.69,122.71%,N/A,2020-12-22
GME,19.46,Call,25,2021-01-22,31,1.14,1.35,1.55,1.5,1882,218,8.63,141.23%,N/A,2020-12-22
GME,19.46,Call,25,2021-01-15,24,1.13,1.3,1.46,1.27,8515,4268,2,147.91%,N/A,2020-12-22
GME,19.46,Call,25,2021-01-08,17,0.69,0.83,0.96,0.83,685,274,2.5,145.28%,N/A,2020-12-22
GME,20.57,Call,24,2021-01-22,30,2.11,2.68,3.25,2.22,663,414,1.6,145.46%,N/A,2020-12-23
GME,20.57,Call,22,2021-01-08,16,1.37,1.79,2.2,1.85,866,214,4.05,140.86%,N/A,2020-12-23
GME,20.57,Call,25,2021-02-19,58,2.86,3.13,3.4,3.05,858,597,1.44,138.33%,N/A,2020-12-23
GME,20.57,Call,21,2021-01-15,23,2.8,3.03,3.25,2.93,1904,1235,1.54,151.34%,N/A,2020-12-23
GME,20.57,Call,21,2021-02-19,58,4,4.05,4.1,4.1,544,159,3.42,131.27%,N/A,2020-12-23
GME,20.57,Call,18,2021-01-08,16,2.95,3.63,4.3,4.1,1254,373,3.36,162.94%,N/A,2020-12-23
GME,20.57,Call,25,2021-01-08,16,0.91,1.11,1.3,1.19,1422,613,2.32,152.13%,N/A,2020-12-23
GME,20.57,Call,30,2021-01-08,16,0.48,0.57,0.66,0.67,511,370,1.38,171.56%,N/A,2020-12-23
GME,20.57,Call,30,2021-02-19,58,1.99,2.17,2.35,2.07,7389,672,11,141.27%,N/A,2020-12-23
GME,20.57,Call,22,2021-02-19,58,3.5,3.8,4.1,3.85,8984,238,37.75,134.84%,N/A,2020-12-23
GME,20.57,Call,24,2021-02-19,58,3.1,3.33,3.55,3.35,579,100,5.79,139.01%,N/A,2020-12-23
GME,20.57,Call,20,2021-02-19,58,4.4,4.53,4.65,4.53,1619,541,2.99,132.23%,N/A,2020-12-23
GME,20.99,Call,35,2021-02-19,53,1.31,1.46,1.6,1.5,1137,479,2.37,148.38%,N/A,2020-12-28
GME,20.99,Call,22,2021-01-08,11,1.45,1.54,1.62,1.48,998,804,1.24,130.57%,N/A,2020-12-28
GME,20.99,Call,27,2021-01-08,11,0.43,0.59,0.75,0.51,564,180,3.13,146.18%,N/A,2020-12-28
GME,19.38,Call,21,2021-01-22,24,1.85,2.09,2.32,2.43,627,502,1.25,154.39%,N/A,2020-12-29
GME,19.38,Call,24,2021-01-08,10,0.54,0.6,0.65,0.56,1146,292,3.92,148.33%,N/A,2020-12-29
GME,19.38,Call,19.5,2021-01-15,17,2.25,2.33,2.4,2.35,698,155,4.5,144.15%,N/A,2020-12-29
GME,19.38,Call,21,2021-01-08,10,1.07,1.09,1.1,1.08,819,595,1.38,133.12%,N/A,2020-12-29
GME,19.26,Call,27,2021-01-08,9,0.09,0.13,0.16,0.14,1324,429,3.09,141.12%,N/A,2020-12-30
GME,17.25,Call,18.5,2021-01-08,8,0.54,0.69,0.83,0.59,938,383,2.45,147.98%,N/A,2020-12-31
GME,17.25,Call,20,2021-01-08,8,0.26,0.28,0.3,0.26,7325,2948,2.48,147.75%,N/A,2020-12-31
GME,17.25,Call,21,2021-01-08,8,0.15,0.17,0.19,0.16,3063,1850,1.66,152.63%,N/A,2020-12-31
GME,17.25,Call,16,2021-02-19,50,3.75,3.78,3.8,3.8,1940,604,3.21,133.80%,N/A,2020-12-31
GME,17.25,Call,18,2021-01-08,8,0.65,0.69,0.72,0.7,1302,415,3.14,140.17%,N/A,2020-12-31
GME,17.25,Call,17.5,2021-01-08,8,0.89,0.91,0.93,0.92,960,271,3.54,143.30%,N/A,2020-12-31
GME,17.25,Call,17.5,2021-01-08,4,0.89,0.91,0.93,0.92,960,271,3.54,143.30%,N/A,2021-01-04
GME,17.25,Call,16,2021-02-19,46,3.75,3.78,3.8,3.8,1940,604,3.21,133.80%,N/A,2021-01-04
