Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Mid,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,"Date On List"
GME,5.07,Put,10,2021-01-15,219,5.85,6.05,6.25,6.15,34265,5071,6.76,149.46%,N/A,2020-06-10
GME,12.25,Put,10,2021-04-16,184,2.93,3.14,3.35,3.34,1989,280,7.1,147.23%,N/A,2020-10-14
GME,6.09,Put,11,2021-01-15,126,5.85,5.95,6.05,6.02,516,201,2.57,159.34%,N/A,2020-09-11
GME,13.49,Put,12,2021-01-15,99,2.84,3.09,3.35,3.1,39224,488,80.38,148.38%,N/A,2020-10-08
GME,7.65,Put,13,2021-01-15,136,6.45,6.88,7.3,6.9,933,173,5.39,155.47%,N/A,2020-09-01
GME,14.91,Put,15,2021-01-15,85,4.4,4.63,4.85,4.62,2517,780,3.23,164.40%,N/A,2020-10-22
GME,5.07,Put,20,2021-01-15,219,15.45,15.65,15.85,15.6,601,143,4.2,167.06%,N/A,2020-06-10
GME,3.85,Put,4.5,2021-01-15,179,1.16,1.45,1.74,1.57,2946,361,8.16,109.02%,N/A,2020-07-20
GME,4.41,Put,6,2021-01-15,205,2.59,2.76,2.93,2.7,800,501,1.6,123.02%,N/A,2020-06-24
GME,6.09,Put,7,2021-04-16,217,3,3.13,3.25,3.15,815,633,1.29,141.82%,N/A,2020-09-11
GME,4.83,Put,7,2021-01-15,206,3.3,3.43,3.55,3.45,4503,400,11.26,133.64%,N/A,2020-06-23
GME,9.39,Put,9,2021-01-15,105,2.43,2.54,2.65,2.5,4470,3031,1.47,141.30%,N/A,2020-10-02
GME,347.51,Put,0.5,2022-01-21,359,0.09,0.1,0.1,0.1,52123,19812,2.63,0.00%,N/A,2021-01-27
GME,347.51,Put,1,2022-01-21,359,0.18,0.19,0.19,0.19,8365,5311,1.58,0.00%,N/A,2021-01-27
GME,347.51,Put,1,2021-04-16,79,0.14,0.15,0.15,0.13,6097,2056,2.97,0.00%,N/A,2021-01-27
GME,347.51,Put,1,2021-07-16,170,0.17,0.18,0.18,0.17,4238,2849,1.49,0.00%,N/A,2021-01-27
GME,347.51,Put,1,2021-03-19,51,0.09,0.1,0.1,0.1,16702,6174,2.71,0.00%,N/A,2021-01-27
GME,347.51,Put,2,2022-01-21,359,0.36,0.37,0.37,0.37,4623,2522,1.83,0.00%,N/A,2021-01-27
GME,76.79,Put,2,2022-01-21,361,0.2,0.21,0.22,0.22,1369,521,2.63,0.00%,N/A,2021-01-25
GME,347.51,Put,2,2023-01-20,723,0.73,0.74,0.74,0.7,7640,4390,1.74,0.00%,N/A,2021-01-27
GME,76.79,Put,2,2023-01-20,725,0.45,0.52,0.58,0.52,2168,962,2.25,174.60%,N/A,2021-01-25
GME,76.79,Put,2,2021-07-16,172,0.14,0.15,0.16,0.14,778,161,4.83,0.00%,N/A,2021-01-25
GME,347.51,Put,2.5,2021-02-12,16,0.11,0.11,0.12,0.11,1825,954,1.91,0.00%,N/A,2021-01-27
GME,147.98,Put,2.5,2021-04-16,80,0.09,0.12,0.15,0.1,931,506,1.84,0.00%,N/A,2021-01-26
GME,347.51,Put,3,2022-01-21,359,0.63,0.69,0.74,0.7,2537,1673,1.52,0.00%,N/A,2021-01-27
GME,347.51,Put,3,2021-02-12,16,0.12,0.13,0.13,0.13,2764,1574,1.76,0.00%,N/A,2021-01-27
GME,76.79,Put,3,2021-11-19,298,0.26,0.29,0.31,0.28,1476,708,2.08,0.00%,N/A,2021-01-25
GME,347.51,Put,4,2021-02-05,9,0.1,0.11,0.11,0.11,2035,876,2.32,0.00%,N/A,2021-01-27
GME,76.79,Put,4,2021-03-19,53,0.09,0.1,0.1,0.1,2115,520,4.07,0.00%,N/A,2021-01-25
GME,76.79,Put,4,2021-07-16,172,0.28,0.3,0.32,0.34,724,276,2.62,0.00%,N/A,2021-01-25
GME,347.51,Put,4.5,2021-02-05,9,0.1,0.12,0.13,0.11,2556,1167,2.19,0.00%,N/A,2021-01-27
GME,53.5,Put,5,2021-03-12,36,0.18,0.22,0.25,0.25,764,229,3.34,345.98%,N/A,2021-02-04
GME,76.79,Put,5,2021-02-26,32,0.14,0.17,0.2,0.15,530,288,1.84,0.00%,N/A,2021-01-25
GME,347.51,Put,5,2021-02-26,30,0.3,0.42,0.53,0.53,3066,945,3.24,0.00%,N/A,2021-01-27
GME,76.79,Put,5,2021-03-19,53,0.16,0.17,0.18,0.18,7661,343,22.34,0.00%,N/A,2021-01-25
GME,90,Put,5.5,2021-02-26,24,0.21,0.24,0.27,0.24,1269,974,1.3,460.42%,N/A,2021-02-02
GME,76.79,Put,6,2021-03-19,53,0.25,0.28,0.3,0.28,2581,443,5.83,0.00%,N/A,2021-01-25
GME,186.95,Put,6,2021-10-15,193,0.17,0.18,0.18,0.18,3127,473,6.61,211.65%,N/A,2021-04-05
GME,12.14,Put,7.5,2024-01-19,66,0.17,0.2,0.22,0.21,2844,1438,1.98,92.96%,-0.080905,2023-11-13
GME,13.31,Put,8,2021-07-16,217,1.64,1.82,2.01,1.85,506,165,3.07,129.70%,N/A,2020-12-11
GME,19.04,Put,8.75,2023-02-17,37,0.19,0.21,0.23,0.21,1058,288,3.67,167.09%,-0.041351,2023-01-11
GME,347.51,Put,9,2021-02-26,30,1,1.15,1.3,1.1,598,183,3.27,0.00%,N/A,2021-01-27
GME,76.79,Put,9,2021-02-05,11,0.08,0.1,0.11,0.1,513,190,2.7,0.00%,N/A,2021-01-25
GME,14.84,Put,9,2024-06-21,197,0.95,1.08,1.2,1.11,701,306,2.29,95.31%,-0.143927,2023-12-06
GME,14.84,Put,9,2024-04-19,134,0.71,0.75,0.78,0.78,841,548,1.53,99.03%,-0.129508,2023-12-06
GME,76.79,Put,10,2021-02-12,18,0.18,0.19,0.19,0.18,1232,333,3.7,0.00%,N/A,2021-01-25
GME,76.79,Put,10,2021-03-19,53,0.65,0.66,0.67,0.7,9787,5396,1.81,0.00%,N/A,2021-01-25
GME,13.85,Put,10,2023-12-15,58,0.29,0.31,0.33,0.28,578,464,1.25,80.19%,-0.122048,2023-10-18
GME,76.79,Put,10,2021-02-26,32,0.41,0.45,0.5,0.5,2452,886,2.77,0.00%,N/A,2021-01-25
GME,65.01,Put,10,2021-02-26,35,0.1,0.14,0.18,0.15,603,292,2.07,0.00%,N/A,2021-01-22
GME,39.91,Put,10,2021-11-19,309,1.67,1.79,1.9,1.8,2110,1058,1.99,146.67%,N/A,2021-01-14
GME,12.8,Put,10,2024-01-19,81,0.58,0.61,0.63,0.58,3837,1627,2.36,74.32%,-0.194323,2023-10-30
GME,21.66,Put,10,2023-05-19,115,0.72,0.83,0.94,0.84,1500,220,6.82,136.13%,-0.079161,2023-01-23
GME,177.77,Put,10,2021-10-15,171,0.2,0.21,0.22,0.2,3151,549,5.74,187.68%,-0.001973,2021-04-27
GME,19.04,Put,10,2023-03-17,64,0.65,0.68,0.71,0.65,6142,637,9.64,149.99%,-0.08845,2023-01-11
GME,13.31,Put,10,2021-11-19,343,3.7,3.78,3.85,3.8,892,136,6.56,128.29%,N/A,2020-12-11
GME,65.01,Put,10,2021-03-19,56,0.3,0.32,0.33,0.33,6140,1923,3.19,0.00%,N/A,2021-01-22
GME,13.85,Put,10,2024-04-19,183,0.99,1.04,1.09,1.07,12365,126,98.13,75.85%,-0.193146,2023-10-18
GME,76.79,Put,11,2021-02-05,11,0.12,0.14,0.15,0.14,859,474,1.81,0.00%,N/A,2021-01-25
GME,16.25,Put,11,2023-12-08,8,0.11,0.13,0.15,0.15,856,556,1.54,192.79%,-0.065756,2023-11-29
GME,14.84,Put,11,2023-12-15,8,0.28,0.29,0.29,0.27,12790,634,20.17,194.86%,-0.118952,2023-12-06
GME,14.91,Put,11,2023-12-15,9,0.12,0.13,0.13,0.13,516,295,1.75,146.96%,-0.076361,2023-12-05
GME,16.76,Put,11.25,2023-04-21,36,0.29,0.31,0.33,0.4,3004,473,6.35,113.15%,-0.095073,2023-03-16
GME,13.87,Put,11.25,2024-01-19,77,0.63,0.67,0.71,0.71,600,282,2.13,73.74%,-0.219538,2023-11-03
GME,16.98,Put,11.25,2023-12-15,10,0.08,0.1,0.11,0.1,6045,1438,4.2,161.95%,-0.047694,2023-12-04
GME,14.84,Put,11.25,2024-01-19,43,0.64,0.75,0.85,0.69,1618,1168,1.39,112.21%,-0.182268,2023-12-06
GME,15.3,Put,11.5,2023-12-08,6,0.13,0.14,0.15,0.14,898,342,2.63,173.74%,-0.082115,2023-12-01
GME,14.84,Put,11.5,2023-12-08,1,0.12,0.13,0.13,0.13,2804,2137,1.31,386.07%,-0.086526,2023-12-06
GME,12.2,Put,11.5,2023-12-01,6,0.14,0.15,0.15,0.14,502,280,1.79,64.66%,-0.228708,2023-11-24
GME,76.79,Put,12,2021-03-19,53,0.77,0.94,1.11,0.91,549,321,1.71,0.00%,N/A,2021-01-25
GME,76.79,Put,12,2021-02-05,11,0.16,0.18,0.19,0.18,1035,211,4.91,0.00%,N/A,2021-01-25
GME,16.25,Put,12,2023-12-08,8,0.26,0.28,0.3,0.29,3338,443,7.53,191.98%,-0.113656,2023-11-29
GME,19.04,Put,12,2023-03-17,64,1.12,1.16,1.2,1.14,974,604,1.61,145.87%,-0.141812,2023-01-11
GME,12.72,Put,12,2021-04-16,123,3.05,3.3,3.55,3.39,524,269,1.95,135.51%,N/A,2020-12-14
GME,13.85,Put,12,2024-04-19,183,1.71,1.78,1.84,1.81,12136,171,70.97,71.54%,-0.297143,2023-10-18
GME,24.79,Put,12,2023-03-17,98,0.67,0.75,0.83,0.8,560,130,4.31,131.32%,-0.077574,2022-12-08
GME,14.84,Put,12,2023-12-08,1,0.21,0.22,0.22,0.22,7237,3512,2.06,396.47%,-0.129861,2023-12-06
GME,20.57,Put,12.5,2021-01-15,23,0.08,0.26,0.43,0.3,516,215,2.4,156.36%,N/A,2020-12-23
