3/2/2020,Swap Counterparty 6,SPDR S&P 500 ETF Trust,ETF Swap,"-$35,737,427.41"
11/2/2020,Swap Counterparty 5,SC5 Basket 1,Custom Basket Swap,"-$1,037,418,675.95"
11/2/2020,Swap Counterparty 6,SC6 Basket 1,Custom Basket Swap,"-$28,889,228.70"
11/3/2020,Swap Counterparty 3,SC3 Basket 1,Custom Basket Swap,"-$493,879,333.72"
11/3/2020,Swap Counterparty 6,SC6 Basket 1,Custom Basket Swap,"-$678,035,341.50"
11/3/2020,Swap Counterparty 8,SC8 Basket1,Custom Basket Swap,"-$229,620,291.75"
12/15/2020,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$19,947,045.07"
12/15/2020,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$42,889.51"
12/15/2020,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$30,063,396.12"
12/15/2020,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$50,112,030.75"
12/30/2020,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$49,904,965.55"
12/30/2020,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$99,861,886.63"
12/30/2020,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$44,910,483.18"
12/31/2020,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$40,079,666.04"
12/31/2020,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$65,092,868.76"
1/4/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$28,032,522.75"
1/4/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$52,045,169.19"
1/4/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$225,152,879.40"
1/5/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$5,994,142.65"
1/5/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$12,008,693.40"
1/5/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$194,931,306.57"
1/6/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$20,980,278.00"
1/6/2021,Swap Counterparty 4,SC4 Basket 1,Custom Basket Swap,"-$6,004,632.00"
1/6/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$185,278,878.00"
1/6/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$44,919,265.20"
1/7/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$4,998,604.80"
1/7/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$85,032,093.51"
1/7/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$84,954,208.00"
1/8/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$2,499,302.40"
1/8/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$229,971,742.00"
1/8/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$114,824,060.70"
1/11/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$20,038,473.83"
1/11/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$279,980,052.00"
1/12/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$23,955,956.05"
1/12/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$334,932,979.46"
1/12/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$39,963,024.30"
1/13/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$90,112,778.00"
1/13/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$15,035,368.92"
1/13/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$135,011,922.40"
1/13/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$90,053,743.40"
1/14/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$20,004,786.10"
1/14/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$12,560,724.00"
1/14/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$154,839,020.42"
1/14/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$149,703,845.40"
1/20/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$44,984,414.25"
1/20/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$79,997,402.40"
1/21/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$55,041,134.90"
1/21/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$134,971,101.20"
1/22/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$134,962,564.20"
1/22/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$244,883,400.12"
1/22/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$84,979,953.60"
1/25/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$155,123,840.40"
1/25/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$18,479,004.02"
1/26/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$29,970,892.80"
1/26/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$289,903,976.90"
1/26/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$15,006,455.05"
1/27/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$641,593,204.80"
1/27/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$36,871,525.60"
1/27/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$420,969,870.47"
1/27/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$400,549,911.60"
1/29/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$150,080,985.60"
1/29/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$49,068,404.00"
2/1/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$18,971,787.00"
2/1/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$280,062,550.95"
2/3/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$9,002,080.08"
2/3/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$31,030,747.58"
2/3/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$249,532,305.39"
2/4/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$40,046,824.70"
2/4/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$28,987,361.39"
2/4/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$64,967,489.53"
2/5/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$95,017,311.40"
2/5/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$18,985,205.26"
2/8/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$10,006,743.54"
2/8/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$27,977,583.95"
2/9/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$47,976,196.50"
2/10/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$244,560,754.80"
2/10/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$111,793,485.15"
2/10/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$780,856,337.23"
2/10/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$39,895,072.60"
2/11/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$95,212,081.80"
2/11/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$142,949,484.40"
2/11/2021,Swap Counterparty 5,SC5 Basket 2,Custom Basket Swap,"-$125,029,921.96"
2/11/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$105,102,965.80"
2/12/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$144,989,190.00"
2/12/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$15,033,606.00"
2/12/2021,Swap Counterparty 6,SC6 Basket 2,Custom Basket Swap,"-$110,025,591.00"
2/16/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$38,458,382.84"
2/16/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$28,962,004.89"
2/17/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$81,010,776.11"
2/17/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$23,010,820.56"
2/18/2021,Swap Counterparty 1,SC1 Basket 1,Custom Basket Swap,"-$200,175,646.00"
2/18/2021,Swap Counterparty 3,SC3 Basket 2,Custom Basket Swap,"-$47,043,794.33"
