Date,Open,High,Low,Close,Adj Close,Volume
2020-06-30,31.200001,32.000000,29.400000,30.799999,30.799999,62770
2020-07-01,31.000000,32.200001,28.200001,28.799999,28.799999,93690
2020-07-02,29.400000,29.600000,27.799999,28.400000,28.400000,65950
2020-07-06,29.400000,29.400000,26.799999,27.600000,27.600000,80840
2020-07-07,27.200001,27.600000,25.400000,26.000000,26.000000,75655
2020-07-08,26.400000,28.000000,24.799999,28.000000,28.000000,92905
2020-07-09,28.200001,30.200001,25.799999,30.000000,30.000000,180970
2020-07-10,30.799999,32.599998,29.600000,30.600000,30.600000,160875
2020-07-13,31.000000,31.400000,27.200001,27.799999,27.799999,135245
2020-07-14,28.000000,28.200001,26.000000,27.600000,27.600000,105385
2020-07-15,28.799999,29.400000,26.400000,28.400000,28.400000,147415
2020-07-16,26.200001,28.400000,26.200001,28.400000,28.400000,45525
2020-07-17,28.200001,28.600000,27.400000,27.799999,27.799999,62680
2020-07-20,27.600000,27.799999,26.000000,26.600000,26.600000,81620
2020-07-21,27.000000,27.799999,26.000000,26.200001,26.200001,81920
2020-07-22,26.200001,26.200001,25.000000,25.400000,25.400000,93185
2020-07-23,25.799999,26.400000,24.600000,24.799999,24.799999,125210
2020-07-24,25.000000,25.200001,23.600000,24.200001,24.200001,74555
2020-07-27,24.600000,25.000000,22.200001,23.000000,23.000000,147310
2020-07-28,24.000000,24.200001,22.400000,22.799999,22.799999,161695
2020-07-29,22.600000,23.400000,21.600000,21.799999,21.799999,177855
2020-07-30,21.600000,22.200001,20.400000,22.200001,22.200001,114285
2020-07-31,22.799999,22.799999,20.000000,20.200001,20.200001,112745
2020-08-03,20.799999,20.799999,20.000000,20.400000,20.400000,88280
2020-08-04,21.000000,24.200001,20.799999,23.200001,23.200001,138420
2020-08-05,23.000000,23.400000,21.600000,22.799999,22.799999,84285
2020-08-06,22.799999,23.200001,22.000000,22.200001,22.200001,38280
2020-08-07,23.600000,23.600000,21.600000,22.799999,22.799999,88970
2020-08-10,23.200001,24.799999,22.799999,24.600000,24.600000,124760
2020-08-11,25.200001,26.000000,24.200001,24.799999,24.799999,117030
2020-08-12,25.600000,25.600000,23.600000,23.799999,23.799999,83790
2020-08-13,24.000000,24.799999,23.200001,24.799999,24.799999,79515
2020-08-14,24.400000,24.799999,23.600000,24.799999,24.799999,56090
2020-08-17,24.600000,25.400000,23.400000,25.400000,25.400000,93470
2020-08-18,25.200001,25.200001,23.400000,24.200001,24.200001,95845
2020-08-19,24.200001,24.200001,21.600000,22.799999,22.799999,128740
2020-08-20,22.600000,22.600000,21.600000,22.000000,22.000000,71290
2020-08-21,22.000000,22.000000,21.000000,21.000000,21.000000,136730
2020-08-24,22.000000,22.000000,20.400000,21.000000,21.000000,94735
2020-08-25,21.400000,23.200001,21.000000,22.600000,22.600000,128715
2020-08-26,20.600000,22.600000,20.600000,21.600000,21.600000,159980
2020-08-27,21.200001,22.400000,20.799999,21.000000,21.000000,64070
2020-08-28,21.400000,21.799999,20.799999,21.799999,21.799999,71290
2020-08-31,21.799999,22.799999,21.600000,22.200001,22.200001,56150
2020-09-01,22.400000,22.799999,20.799999,21.000000,21.000000,85400
2020-09-02,21.600000,21.600000,20.600000,20.799999,20.799999,96290
2020-09-03,21.000000,21.200001,20.400000,20.400000,20.400000,98450
2020-09-04,20.400000,20.799999,18.400000,19.600000,19.600000,206410
2020-09-08,17.600000,18.400000,17.000000,18.400000,18.400000,198885
2020-09-09,18.400000,18.600000,17.400000,18.400000,18.400000,87800
2020-09-10,18.200001,18.600000,17.600000,18.000000,18.000000,87025
2020-09-11,18.200001,18.400000,16.600000,17.600000,17.600000,99360
2020-09-14,17.600000,20.400000,17.600000,19.400000,19.400000,134420
2020-09-15,19.799999,20.000000,18.799999,19.000000,19.000000,42870
2020-09-16,18.799999,20.400000,18.799999,19.000000,19.000000,108275
2020-09-17,18.799999,20.400000,18.400000,19.400000,19.400000,75045
2020-09-18,19.600000,20.000000,17.799999,18.000000,18.000000,648145
2020-09-21,18.600000,19.000000,16.200001,16.200001,16.200001,252845
2020-09-22,16.400000,17.000000,15.000000,15.400000,15.400000,207915
2020-09-23,15.400000,16.400000,14.000000,14.000000,14.000000,360275
2020-09-24,14.200000,14.800000,13.000000,14.200000,14.200000,400515
2020-09-25,14.200000,14.600000,13.400000,13.600000,13.600000,230885
2020-09-28,13.600000,15.200000,13.200000,13.400000,13.400000,416535
2020-09-29,13.400000,13.400000,12.200000,12.200000,12.200000,290225
2020-09-30,12.400000,13.200000,12.200000,12.200000,12.200000,348630
2020-10-01,12.400000,16.799999,12.400000,16.000000,16.000000,881500
2020-10-02,15.000000,17.200001,14.400000,16.400000,16.400000,411505
2020-10-05,16.000000,17.000000,15.200000,15.200000,15.200000,174795
2020-10-06,15.600000,15.800000,12.800000,13.200000,13.200000,340025
2020-10-07,14.000000,15.200000,13.800000,14.000000,14.000000,295565
2020-10-08,14.400000,15.200000,14.200000,14.600000,14.600000,250515
2020-10-09,14.800000,15.600000,14.200000,15.000000,15.000000,289955
2020-10-12,15.000000,17.000000,14.800000,15.200000,15.200000,387205
2020-10-13,15.200000,15.400000,14.000000,14.400000,14.400000,301630
2020-10-14,14.600000,15.400000,14.200000,14.800000,14.800000,336485
2020-10-15,14.600000,15.400000,14.000000,15.000000,15.000000,130255
