Date,Open,High,Low,Close,Adj Close,Volume
2020-06-30,1.350000,1.430000,1.320000,1.360000,1.360000,26600
2020-07-01,1.340000,1.630000,1.340000,1.480000,1.480000,121700
2020-07-02,1.400000,1.550000,1.400000,1.480000,1.480000,34000
2020-07-06,1.500000,1.520000,1.440000,1.480000,1.480000,9600
2020-07-07,1.440000,1.460000,1.430000,1.430000,1.430000,2300
2020-07-08,1.430000,1.470000,1.430000,1.450000,1.450000,9700
2020-07-09,1.600000,1.960000,1.550000,1.800000,1.800000,885100
2020-07-10,1.680000,1.800000,1.680000,1.780000,1.780000,90300
2020-07-13,1.680000,1.740000,1.500000,1.530000,1.530000,30900
2020-07-14,1.610000,1.670000,1.570000,1.580000,1.580000,28400
2020-07-15,1.450000,1.710000,1.450000,1.580000,1.580000,20900
2020-07-16,1.580000,1.650000,1.560000,1.620000,1.620000,11900
2020-07-17,1.600000,1.620000,1.550000,1.580000,1.580000,25100
2020-07-20,1.640000,1.650000,1.490000,1.580000,1.580000,79400
2020-07-21,1.650000,1.700000,1.580000,1.630000,1.630000,31200
2020-07-22,1.710000,1.880000,1.660000,1.730000,1.730000,162500
2020-07-23,1.810000,1.860000,1.750000,1.770000,1.770000,105700
2020-07-24,1.840000,1.910000,1.790000,1.900000,1.900000,68700
2020-07-27,1.980000,2.330000,1.920000,2.030000,2.030000,306200
2020-07-28,2.040000,2.130000,1.850000,2.010000,2.010000,105200
2020-07-29,1.990000,1.990000,1.860000,1.870000,1.870000,29300
2020-07-30,1.920000,1.920000,1.860000,1.900000,1.900000,19900
2020-07-31,1.880000,1.920000,1.800000,1.900000,1.900000,25300
2020-08-03,1.980000,1.990000,1.860000,1.940000,1.940000,31500
2020-08-04,1.990000,2.450000,1.990000,2.330000,2.330000,300800
2020-08-05,2.210000,2.370000,2.210000,2.240000,2.240000,48500
2020-08-06,2.240000,2.380000,2.190000,2.340000,2.340000,33300
2020-08-07,2.370000,2.400000,2.230000,2.330000,2.330000,30000
2020-08-10,2.360000,2.400000,2.210000,2.400000,2.400000,55500
2020-08-11,2.540000,2.700000,1.960000,2.060000,2.060000,542600
2020-08-12,1.980000,2.100000,1.920000,2.100000,2.100000,78500
2020-08-13,2.000000,2.110000,1.950000,2.090000,2.090000,61900
2020-08-14,2.080000,2.100000,2.040000,2.040000,2.040000,33300
2020-08-17,2.040000,2.100000,2.040000,2.100000,2.100000,8000
2020-08-18,2.070000,2.420000,2.040000,2.350000,2.350000,109400
2020-08-19,2.340000,2.340000,2.110000,2.170000,2.170000,23500
2020-08-20,2.170000,2.680000,2.170000,2.660000,2.660000,106400
2020-08-21,2.500000,2.500000,2.220000,2.320000,2.320000,80800
2020-08-24,2.320000,2.810000,2.250000,2.340000,2.340000,150100
2020-08-25,2.350000,2.550000,2.300000,2.320000,2.320000,48100
2020-08-26,2.320000,2.340000,2.130000,2.140000,2.140000,30300
2020-08-27,2.410000,2.470000,2.170000,2.270000,2.270000,144600
2020-08-28,2.290000,2.290000,2.170000,2.240000,2.240000,16500
2020-08-31,2.250000,2.290000,2.100000,2.170000,2.170000,31200
2020-09-01,2.120000,2.140000,1.990000,2.050000,2.050000,44400
2020-09-02,2.030000,2.110000,1.990000,2.070000,2.070000,19400
2020-09-03,2.070000,2.070000,1.920000,1.940000,1.940000,21500
2020-09-04,1.940000,1.960000,1.890000,1.910000,1.910000,14600
2020-09-08,1.890000,1.980000,1.790000,1.980000,1.980000,16500
2020-09-09,1.940000,1.960000,1.920000,1.950000,1.950000,4800
2020-09-10,1.960000,1.980000,1.920000,1.970000,1.970000,7800
2020-09-11,2.000000,2.180000,1.990000,2.080000,2.080000,35900
2020-09-14,2.080000,2.150000,2.080000,2.150000,2.150000,7000
2020-09-15,2.070000,2.120000,1.950000,2.050000,2.050000,21100
2020-09-16,2.010000,2.160000,2.010000,2.070000,2.070000,9700
2020-09-17,2.060000,2.180000,2.060000,2.150000,2.150000,2800
2020-09-18,2.170000,2.170000,2.070000,2.070000,2.070000,7800
2020-09-21,2.080000,2.190000,2.080000,2.160000,2.160000,9400
2020-09-22,2.120000,2.150000,2.110000,2.140000,2.140000,1000
2020-09-23,2.170000,2.170000,2.140000,2.170000,2.170000,800
2020-09-24,2.190000,2.350000,2.180000,2.320000,2.320000,42900
2020-09-25,2.220000,2.250000,2.200000,2.220000,2.220000,1600
2020-09-28,2.200000,2.260000,2.070000,2.200000,2.200000,29800
2020-09-29,2.140000,2.180000,2.140000,2.140000,2.140000,7500
2020-09-30,2.190000,2.190000,2.140000,2.140000,2.140000,1800
2020-10-01,2.140000,2.180000,2.010000,2.170000,2.170000,10000
2020-10-02,2.170000,2.170000,2.170000,2.170000,2.170000,200
2020-10-05,2.140000,2.180000,2.130000,2.150000,2.150000,8500
2020-10-06,2.170000,2.210000,2.150000,2.150000,2.150000,9300
2020-10-07,2.160000,2.230000,2.160000,2.200000,2.200000,6900
2020-10-08,2.150000,2.230000,2.150000,2.190000,2.190000,21500
2020-10-09,2.180000,2.190000,2.160000,2.170000,2.170000,6000
2020-10-12,2.160000,2.440000,2.060000,2.310000,2.310000,164600
2020-10-13,2.190000,2.290000,2.120000,2.190000,2.190000,13000
2020-10-14,2.190000,2.200000,2.130000,2.200000,2.200000,3300
2020-10-15,2.080000,2.170000,2.070000,2.070000,2.070000,8800
2020-10-16,2.030000,2.220000,2.030000,2.200000,2.200000,14000
2020-10-19,2.080000,2.210000,2.080000,2.130000,2.130000,5500
2020-10-20,2.200000,2.530000,2.160000,2.280000,2.280000,61200
2020-10-21,2.340000,2.360000,2.130000,2.240000,2.240000,11600
2020-10-22,2.210000,2.260000,2.150000,2.150000,2.150000,800
2020-10-23,2.170000,2.190000,2.160000,2.160000,2.160000,2400
2020-10-26,2.080000,2.190000,2.080000,2.140000,2.140000,11600
2020-10-27,2.080000,2.190000,2.020000,2.190000,2.190000,7700
2020-10-28,2.110000,2.140000,2.090000,2.100000,2.100000,4900
2020-10-29,2.100000,2.110000,2.070000,2.070000,2.070000,3900
2020-10-30,2.070000,2.070000,2.070000,2.070000,2.070000,0
2020-11-02,2.050000,2.160000,2.030000,2.030000,2.030000,3800
2020-11-03,2.150000,2.170000,2.110000,2.110000,2.110000,700
2020-11-04,2.110000,2.160000,2.060000,2.100000,2.100000,1600
2020-11-05,2.150000,2.150000,2.060000,2.060000,2.060000,1900
2020-11-06,2.060000,2.060000,2.060000,2.060000,2.060000,600
2020-11-09,2.100000,2.100000,2.060000,2.060000,2.060000,500
2020-11-10,2.140000,2.140000,2.110000,2.110000,2.110000,2500
2020-11-11,2.080000,2.160000,2.070000,2.160000,2.160000,3000
2020-11-12,2.150000,2.150000,2.080000,2.080000,2.080000,1300
2020-11-13,2.160000,2.160000,2.160000,2.160000,2.160000,3600
2020-11-16,2.060000,2.190000,2.060000,2.100000,2.100000,7800
2020-11-17,2.160000,2.160000,2.070000,2.120000,2.120000,4200
2020-11-18,2.090000,2.100000,2.090000,2.090000,2.090000,1100
2020-11-19,2.100000,2.100000,2.050000,2.090000,2.090000,8300
2020-11-20,2.090000,2.090000,2.070000,2.080000,2.080000,1100
2020-11-23,2.140000,2.140000,2.080000,2.090000,2.090000,1000
2020-11-24,2.120000,2.280000,2.120000,2.150000,2.150000,18900
2020-11-25,2.120000,2.190000,2.120000,2.130000,2.130000,5100
2020-11-27,2.200000,2.200000,2.200000,2.200000,2.200000,300
2020-11-30,2.200000,2.210000,2.150000,2.160000,2.160000,7800
2020-12-01,2.200000,2.800000,2.200000,2.800000,2.800000,123800
2020-12-02,2.510000,2.620000,2.310000,2.560000,2.560000,15000
2020-12-03,2.680000,2.740000,2.580000,2.700000,2.700000,9800
2020-12-04,2.610000,2.780000,2.500000,2.540000,2.540000,15300
2020-12-07,2.530000,2.690000,2.530000,2.570000,2.570000,3400
2020-12-08,2.450000,2.570000,2.450000,2.510000,2.510000,3200
2020-12-09,2.500000,2.530000,2.310000,2.500000,2.500000,10100
2020-12-10,2.410000,2.620000,2.380000,2.380000,2.380000,4300
2020-12-11,2.380000,2.380000,2.380000,2.380000,2.380000,600
2020-12-14,2.550000,2.610000,2.380000,2.450000,2.450000,3100
2020-12-15,2.500000,2.500000,2.500000,2.500000,2.500000,700
2020-12-16,2.490000,2.590000,2.480000,2.550000,2.550000,3300
2020-12-17,2.570000,2.580000,2.520000,2.550000,2.550000,2100
2020-12-18,2.590000,2.590000,2.380000,2.380000,2.380000,7200
2020-12-21,2.550000,2.550000,2.470000,2.470000,2.470000,15400
2020-12-22,2.470000,2.500000,2.360000,2.440000,2.440000,4500
2020-12-23,2.370000,2.420000,2.310000,2.340000,2.340000,8500
2020-12-24,2.320000,2.400000,2.320000,2.340000,2.340000,4900
2020-12-28,2.330000,2.730000,2.330000,2.400000,2.400000,793400
2020-12-29,3.880000,5.100000,3.120000,3.440000,3.440000,15319000
2020-12-30,3.160000,3.890000,3.110000,3.700000,3.700000,1002200
2020-12-31,3.320000,3.700000,3.150000,3.440000,3.440000,333500
2021-01-04,3.310000,3.400000,2.900000,3.190000,3.190000,245100
2021-01-05,3.130000,3.370000,2.960000,3.110000,3.110000,116600
2021-01-06,3.090000,3.240000,3.050000,3.050000,3.050000,34600
2021-01-07,3.110000,3.180000,2.970000,3.150000,3.150000,84600
2021-01-08,3.280000,3.280000,3.000000,3.270000,3.270000,62300
2021-01-11,3.190000,3.230000,3.020000,3.200000,3.200000,39500
2021-01-12,3.200000,3.290000,3.090000,3.240000,3.240000,40300
2021-01-13,3.240000,3.380000,3.100000,3.110000,3.110000,28300
2021-01-14,3.100000,3.220000,3.030000,3.070000,3.070000,26200
2021-01-15,3.070000,3.170000,2.820000,2.900000,2.900000,82600
2021-01-19,3.030000,3.840000,3.030000,3.620000,3.620000,713500
2021-01-20,3.900000,4.300000,3.400000,3.430000,3.430000,567700
2021-01-21,3.480000,3.690000,3.290000,3.540000,3.540000,97500
2021-01-22,3.490000,3.540000,3.210000,3.340000,3.340000,121800
2021-01-25,3.650000,6.000000,3.450000,6.000000,6.000000,8512100
2021-01-26,11.690000,13.900000,8.720000,10.000000,10.000000,34562700
2021-01-27,17.520000,69.790001,14.190000,58.000000,58.000000,25073500
2021-01-28,74.000000,127.449997,25.000000,41.959999,41.959999,11305200
2021-01-29,72.860001,105.400002,53.000000,64.000000,64.000000,11612300
2021-02-01,60.000000,60.000000,34.000000,35.000000,35.000000,7973000
2021-02-02,26.660000,27.000000,17.510000,20.000000,20.000000,6671000
2021-02-03,26.750000,30.000000,23.809999,25.590000,25.590000,7228400
2021-02-04,24.000000,24.750000,18.299999,18.799999,18.799999,2913400
2021-02-05,17.950001,24.490000,17.010000,19.980000,19.980000,4844400
2021-02-08,19.469999,19.610001,17.250000,19.000000,19.000000,2055000
2021-02-09,18.150000,18.670000,17.510000,17.920000,17.920000,1178900
2021-02-10,17.700001,19.000000,15.500000,17.010000,17.010000,2409700
2021-02-11,16.559999,17.160000,15.340000,15.920000,15.920000,847100
2021-02-12,15.170000,15.700000,14.510000,14.780000,14.780000,1076300
2021-02-16,14.700000,14.950000,13.310000,14.500000,14.500000,1893500
2021-02-17,14.210000,14.300000,13.150000,13.390000,13.390000,533800
2021-02-18,13.320000,17.700001,12.600000,14.250000,14.250000,6529600
2021-02-19,13.750000,14.220000,13.020000,14.050000,14.050000,946100
2021-02-22,13.900000,15.200000,13.150000,13.310000,13.310000,1520400
