Date,Open,High,Low,Close,Adj Close,Volume
2021-06-28,427.170013,427.649994,425.890015,427.470001,413.247742,53159600
2021-06-29,427.880005,428.559998,427.130005,427.700012,413.470154,35970500
2021-06-30,427.209991,428.779999,427.179993,428.059998,413.818085,64827900
2021-07-01,428.869995,430.600006,428.799988,430.429993,416.109253,53441000
2021-07-02,431.670013,434.100006,430.519989,433.720001,419.289795,57697700
2021-07-06,433.779999,434.010010,430.010010,432.929993,418.526031,68710400
2021-07-07,433.660004,434.760010,431.510010,434.459991,420.005127,63549500
2021-07-08,428.779999,431.730011,427.519989,430.920013,416.582947,97595200
2021-07-09,432.529999,435.839996,430.709991,435.519989,421.029938,76238600
2021-07-12,435.429993,437.350006,434.970001,437.079987,422.537964,52889600
2021-07-13,436.239990,437.839996,435.309998,435.589996,421.097565,52911300
2021-07-14,437.399994,437.920013,434.910004,436.239990,421.725922,64130400
2021-07-15,434.809998,435.529999,432.720001,434.750000,420.285492,55126400
2021-07-16,436.010010,436.059998,430.920013,431.339996,416.988953,75874700
2021-07-19,426.190002,431.410004,421.970001,424.970001,410.830902,147987000
2021-07-20,425.679993,432.420013,424.829987,431.059998,416.718262,99608200
2021-07-21,432.339996,434.700012,431.010010,434.549988,420.092163,64724400
2021-07-22,434.739990,435.720001,433.690002,435.459991,420.971893,47878500
2021-07-23,437.519989,440.299988,436.790009,439.940002,425.302856,63766600
2021-07-26,439.309998,441.029999,439.260010,441.019989,426.346893,43719200
2021-07-27,439.910004,439.940002,435.989990,439.010010,424.403778,67397100
2021-07-28,439.679993,440.299988,437.309998,438.829987,424.229767,52472400
2021-07-29,439.820007,441.799988,439.809998,440.649994,425.989227,47435300
2021-07-30,437.910004,440.059998,437.769989,438.510010,423.920410,68951200
2021-08-02,440.339996,440.929993,437.209991,437.589996,423.031006,58783300
2021-08-03,438.440002,441.279999,436.100006,441.149994,426.472565,58053900
2021-08-04,439.779999,441.119995,438.730011,438.980011,424.374817,46732200
2021-08-05,440.220001,441.850006,439.880005,441.760010,427.062317,38969700
2021-08-06,442.100006,442.940002,441.799988,442.489990,427.767944,46930000
2021-08-09,442.459991,442.799988,441.309998,442.130005,427.420013,41222600
2021-08-10,442.609985,443.440002,441.880005,442.679993,427.951630,43339300
2021-08-11,443.820007,443.880005,442.619995,443.779999,429.015076,44034300
2021-08-12,443.619995,445.260010,442.660004,445.109985,430.300842,38909400
2021-08-13,445.589996,445.940002,445.070007,445.920013,431.083862,39470300
2021-08-16,444.529999,447.109985,442.869995,446.970001,432.098969,73740000
2021-08-17,444.239990,444.959991,440.850006,444.040009,429.266418,92673900
2021-08-18,442.959991,444.630005,438.920013,439.179993,424.568176,89351900
2021-08-19,436.269989,441.140015,436.119995,439.859985,425.225494,92812200
